,id,date,username,name,tweet,language,sentiment,positive_score,negative_score,neutral_score,mixed_score
1,1374359069356605446,2021-03-23,shekaaaa81,shekaaaa81🇶🇦🇶🇦🇶🇦🇶🇦,@khalidalnshera @GoRafeeq أضم صوتي لصوتك خدمتهم ضعيفه,ar,NEGATIVE,0.004109296482056379,0.7671303749084473,0.2285686880350113,0.0001916969195008278
2,1374358474377814016,2021-03-23,shekaaaa81,shekaaaa81🇶🇦🇶🇦🇶🇦🇶🇦,@GoRafeeq الخدمه بطيئه للأسف,ar,NEGATIVE,8.929488103603944e-05,0.9972438812255859,0.0022628260776400566,0.0004040809872094542
3,1374354306464366596,2021-03-23,jaberalmarriq8,جابر المري,لو كنت مسؤولاً كبيراً  في إدارة المرور لأعدت فحص رخص قيادة سائقي الدراجات النارية التابعين لـ @Talabat و @GoRafeeq  فرعونتهم وجهلهم في القيادة تستدعي التشديد عليهم بالنظر إلى حجم الحوادث التي سببوها !! @MOI_Qatar  #قطر,ar,NEGATIVE,0.003306896658614278,0.6784528493881226,0.3182019591331482,3.832030051853508e-05
8,1374077326405861377,2021-03-22,q_love15,ســنـــيار قـــطــر .. المعالى كايده,@GoRafeeq هذا والمطعم بينه وبين بيتي اقل من 5دقايق  https://t.co/y6cBcWuwVM,ar,NEUTRAL,0.09365436434745789,0.011499135755002499,0.8948276042938232,1.8853446817956865e-05
11,1374001215890153479,2021-03-22,rkstyping,RoudaAlsuwaidi,@ii1810ii @GoRafeeq  مب عالتني الا خريطتهم الدقايق تزيد ماتنقص فيها 😂💔 عالعموم انا حذفت الابلكيشن خلاص ✋🏽,ar,NEGATIVE,0.006126090418547392,0.8119699954986572,0.1812821328639984,0.0006217961781658232
15,1373712107930279944,2021-03-21,kaybinmubarak,﮼خليفهه،بن،مبارك,@GoRafeeq  17 دقيقه انتظر على الخط عشان حد يرد..؟!! والمطعم يتصلي يقولي الطلب جاهز من نص ساعه ورفيق لحد اللحين ما وصل الاكل بيصير بارد.!!!! والاكل يوصل لنا بارد مشكلة مَن بالضبط ..؟!!!  https://t.co/3xfrB18mg2,ar,NEUTRAL,0.20520725846290588,0.36349111795425415,0.43124574422836304,5.587475607171655e-05
20,1373534791824515072,2021-03-21,khalidalnshera,أياماً تُعد ..,@GoRafeeq تساعدوني في شنو بالضبط ؟ بتسخنون الريوق بماكرويف؟ ساعدوا الموظفين الي عندكم يوصلون الطلبات في وقتها مانطلب منكم اي شي غير كذا وشكراً على ردكم.,ar,NEUTRAL,0.012855063192546368,0.051784396171569824,0.9353466629981995,1.3866906556359027e-05
22,1373533196298649602,2021-03-21,khalidalnshera,أياماً تُعد ..,@GoRafeeq صباح الخير، امس واليوم طلبت من رفيق اطلب الصبح الساعه ٨ يوصلني الريوق الساعه ١١ ؟ غصب تخلونه غداء يعني؟ والمشكله اتصل لخدمة العملاء يقولون السواق توه مستلم الطلب واتفاجئ بعدين انه يعطيني اي كلام عشان اسكر ويتأخر بعد ساعه ونص او ساعتين خدمتك بدال ماتتطور قاعده تنزل تحت للأسف,ar,NEGATIVE,0.0016626740107312799,0.948257565498352,0.04999588057398796,8.386158879147843e-05
27,1373432040142569477,2021-03-21,salma96285058,🌹,@alkhor_live @GoRafeeq @im_qatar سنونو وطلبات,ar,NEUTRAL,0.007104568183422089,0.0005127015174366534,0.9923782348632812,4.442786121217068e-06
28,1373378858498527233,2021-03-21,aey957,Aey95,@GoRafeeq @Q_love15 من متى وانا اكلمكم هو طلبه تاخر ورديتو عليه انا صار لي شهرين انطر تردون فلوسي ولا حد يرد ولا حد مهتم ف الموضوع لين متى يعني ؟؟,ar,NEUTRAL,0.15294460952281952,0.363346666097641,0.4826205372810364,0.001088176853954792
