,Unnamed: 0,id,date,username,name,tweet,language,sentiment,positive_score,negative_score,neutral_score,mixed_score
0,0,1374448220030472202,2021-03-23,_lajolie_,ɪиᴊσυɒ 🇮🇶🇮🇶,@Sabazaidd @Talabat 😂😂😂,und,NEUTRAL,0.008954852819442749,0.003540552919730544,0.9866303205490112,0.0008743364596739411
1,1,1374447698208694274,2021-03-23,sabazaidd,Saba,@Talabat  تعلمو,ar,NEUTRAL,0.0007517993217334151,0.000935687858145684,0.9983069896697998,5.524824246094795e-06
2,2,1374446281351856128,2021-03-23,faisal_abh_,Faisal A.,@alnaamaaa yes yes they’re always za7ma I feel like it’s the hub for all Talabat/carriage orders of Dafna,en,NEUTRAL,0.12147042155265808,0.024713944643735886,0.8537322282791138,8.346221875399351e-05
3,3,1374445274119086084,2021-03-23,nsae7a,السيستم عطلان,@FalajmiiA @burgerkingkw @Talabat مو أنتي تطلبين بدل الضائع اطلبي امبجر,ar,NEUTRAL,0.002883289009332657,0.04633156955242157,0.9507734775543213,1.172539487015456e-05
4,4,1374444089710575623,2021-03-23,exlns1,خالد Freeman,@FalajmiiA @burgerkingkw @Talabat  https://t.co/n9SwtTcBS1,und,NEUTRAL,0.003941504750400782,0.0009703843388706446,0.9935626983642578,0.001525447005406022
5,5,1374443028757192722,2021-03-23,falajmiia,عيــٰـن 🕊,@Exlns1 @burgerkingkw @Talabat لاتقلب المواجع 🥺  https://t.co/cr0orcDC5v,ar,NEUTRAL,0.012904285453259945,0.019189627841114998,0.9678588509559631,4.716301191365346e-05
6,6,1374442625520996359,2021-03-23,exlns1,خالد Freeman,@FalajmiiA @burgerkingkw @Talabat عاد خوش مطعم سقنيتشر,ar,NEUTRAL,0.09608487039804459,0.07814887911081314,0.8256517052650452,0.00011454316700110212
7,7,1374441190829953026,2021-03-23,7ooor_t_d,7ooR_T_D,ماوصل الطلب وحطيتو ان وصل لي وخلص وانا حتى ماشفته :) ردولي الفلوس عالاقل @Talabat,ar,NEGATIVE,0.2931693494319916,0.5253946185112,0.15931276977062225,0.022123176604509354
8,8,1374440805465612289,2021-03-23,falajmiia,عيــٰـن 🕊,@7Alrshediii @burgerkingkw @Talabat  https://t.co/cQoxNz18oP,und,NEUTRAL,0.001662920112721622,0.000432021712185815,0.9977797865867615,0.00012528598017524928
9,9,1374439605299077127,2021-03-23,7alrshediii,A7,@FalajmiiA @burgerkingkw @Talabat ماطلعو تصاريح للحين من باجر يبلشون توصيل,ar,NEUTRAL,0.03775743022561073,0.17739057540893555,0.7847793102264404,7.271746289916337e-05
10,10,1374438454092652545,2021-03-23,simplynadzz,ناديا,@hammyiscrying imagine all the individual meals were gone i was too sad to open talabat cause i hate talabat,en,NEGATIVE,0.0016666424926370382,0.7817891836166382,0.20128892362117767,0.015255285426974297
11,11,1374437517479452687,2021-03-23,hannassem,hanna,otlob &gt; talabat,tl,,,,,
12,12,1374437120744382483,2021-03-23,mernnaazayed,Mernunn🌵,Talabat بقي سيئ جدا حقيقي و لازم تحصل مشكلة كل مرة و حاجة سخيفة,ar,,,,,
13,13,1374435626280390666,2021-03-23,falajmiia,عيــٰـن 🕊,#توصيل_المطاعم طلب يتكنسل العصر وطلب معلق للحين شلون يعني ؟ @burgerkingkw @Talabat  https://t.co/MeQdFcqhoZ,ar,,,,,
14,14,1374435251368329220,2021-03-23,ranavvi,....,@ziyad911911 @talabateg فعلا شركة نصب و استغلال حصل معايا نفس الحاجه ولله شركة نصب و استغلال @Talabat @talabateg,ar,,,,,
15,15,1374435058182852613,2021-03-23,jaytheemarati,itz.just.jayyy❣️,I’m starting to think Talabat drivers dgaf about their lives based on how they pull out in front of me in roundabouts...,en,,,,,
16,16,1374432272984592393,2021-03-23,asssouurr,إسراء,@Maryaamalsh__ @Talabat اييييييي🙂,ar,,,,,
17,17,1374430816126734349,2021-03-23,hansfluenza,honeys,bahaya eh duduk ngan dorang ni tiap malam nak talabat 😳,in,,,,,
18,18,1374430461355724804,2021-03-23,94outsider,theoutsider,"@Bazinga_26 I do most of the times, my sister and/or my mother some times. And I ordered from Careem/Talabat multiple times while working (not always keto specific meals, but keto friendly meals).",en,,,,,
19,19,1374430339641221123,2021-03-23,nhfailchawi,ناصر حامد الفيلكاوي,@Talabat طلبات من سيئ إلى أسوء.. طالب من الساعه ٧ بتصير ١٠ الحين ما وصلوا الطلب ومحد يرد #توصيل_المطاعم   دليفرو علمهم شلون يوصلون بسرعه  @Deliveroo,ar,,,,,
20,20,1374428369387876357,2021-03-23,otibiie,ً,Talabat : م استفدنا شي كلهم Busy (:,und,,,,,
21,21,1374427625288998915,2021-03-23,basmatantawym,اللااه,@talabateg @talabateg @Talabat,und,,,,,
22,22,1374426640030175251,2021-03-23,alhajmona,mona alhaj,This is how talabat treats their valuable customers #talabat #badcustomerservice #Delivery  https://t.co/AZQ6ZtFz1e,en,,,,,
23,23,1374426533318717456,2021-03-23,0puim_off,faris,Fuck talabat I ordered two Diet Pepsi I got one normal Pepsi fuck you vigilant Mexican restaurant y’all are ass,en,,,,,
24,24,1374426326304579598,2021-03-23,alhajmona,mona alhaj,"@Talabat if you are not qualified why did you open the delivery service,, your agents shuts the chat after waiting for more than 20 minutes to chat.. 👏🏻👏🏻 weak service talabat #talabat",en,,,,,
25,25,1374425479176876038,2021-03-23,farouhitaaa,farouhita🏳️,Talabat di awsakh sherka fel tarikh,in,,,,,
26,26,1374425477578776580,2021-03-23,asn_96,ASN 💫,@FJ_09 @Talabat كل يوم مكنسلين طلبي💔,ar,,,,,
27,27,1374425010849288202,2021-03-23,ashwaqalqaa,.,@Talabat انا طلبت عن طريق التطبيق وطلع تم الغاء طلبي وانا دافعه المبلغ وش الحل؟؟؟,ar,,,,,
28,28,1374424825393938434,2021-03-23,f__alazmi_,𝔣𝔞𝔦,@Talabat كالعادة طلبات ندفع كينت ولا يوصل الطلب ولا يردون علينا 😭 شنو الحل ؟ لي متى ؟,ar,,,,,
29,29,1374423561121665032,2021-03-23,old_fashi0n,Ahmad Al,@ItsMetyping2 @Talabat شكراااا عالحل السريع,ar,,,,,
30,30,1374422782465900544,2021-03-23,feh3x,☾,احساس حلو وانا طالبه من ساعتين ودافعه كينت وماوصل ومحد يرد علي لا انتو ولا طلبات @Talabat ترقبوني باجر 😌,ar,,,,,
31,31,1374422721145176064,2021-03-23,luxkind,SG,@Talabat you offer the worst service EVER!!!,en,,,,,
32,32,1374422422967881728,2021-03-23,il_sb3,SB3AWY,@Talabat لا تصيرون انتوا و الحكومة علينا 🥲 ليش تكنسلون طلباتنا اليوم ؟!؟,ar,,,,,
33,33,1374421223170469901,2021-03-23,haneyumii,dal。,@Talabat السلام عليكم، صارلي ساعتين طالبه من مطعم من عندكم ولحد الحين ما وصل، مع ان البرنامج حاطلي ان الطلب وصل,ar,,,,,
34,34,1374421070837469191,2021-03-23,razaq89,Aʙᴅᴜʟʀᴀᴢᴀǫ Aʟᴀʟi,@iElessar @Talabat نقص سواق  اكثر من نصهم مو بإسم الشركة و اذا وصل طلب و وقفوه نقطة تفتيش راح يختفي 😅,ar,,,,,
35,35,1374418006445494275,2021-03-23,wahabjimaz,عبدالوهاب الجيماز 🎼,Talabat keeps proving that its the worst delivery service ever,en,,,,,
36,36,1374416882862747650,2021-03-23,muscatlivestock,Muscat Livestock مسقط للمواشي,ابحث عن مسقط للمواشي في قسم البقالة في تطبيق طلبات. بنوصل على بعد ١٥ كم من المحل.  Look for Muscat Livestock in Grocery section of Talabat. We are delivering within 15 kilometres radius of the store.  @Talabat   #MLS #Acutabove #أجود_القطع  https://t.co/aicDQVgNSJ,und,,,,,
37,37,1374416571725049870,2021-03-23,leewak1,Ayman,Vrmt dok talabat li ki kriw drari sghar khass ydekhlohom l7ebss pcqu'elles les maltraitent hypeeer.(jdis ça pcque w7da 9bayla 3ndha chi 40 ans kt tleb bderia 3ndha chi 2 ans et kt drbha bjehd o kt sebha bklam khayeb bzaf),in,,,,,
38,38,1374416549944066054,2021-03-23,itsmetyping2,itsme,مو قلت لكم طلبات بالانجليزي حبوبين اكثر  @Talabat  https://t.co/QGcTF2R1Xs,ar,,,,,
39,39,1374416281479245827,2021-03-23,hhabeeb36,Khan sahab,@ThatsSaraa It's time for Talabat,en,,,,,
40,40,1374416266375565318,2021-03-23,asssouurr,إسراء,@Maryaamalsh__ @Talabat لا تخيلي طلبت واخترت مطعم مو مجربته بس عشان يوصل بنص ساعه اخر شي وصلوه بعد ساعه ونص  https://t.co/7sRd9isTGN,ar,,,,,
41,41,1374415950603190272,2021-03-23,goodgodevan,Ev 👹,"Although, i've had problems with deliveroo before but i can't hold them accoubtable for the drivers' mistakes. Talabat though, so far they've been nothing but consistent with their service quality.",en,,,,,
42,42,1374415649217204226,2021-03-23,saoud99x,SAOUD,مطاعم مصكرة من الحين ليش ؟ @Talabat,ar,,,,,
43,43,1374415399022784512,2021-03-23,goodgodevan,Ev 👹,How come that when i order the same meal from deliveroo and talabat the price is different? Deliveroo is relatively cheaper and actually has a deal of free delivery for the first 14 days. Aight bruh i'm switching,en,,,,,
44,44,1374415351966920717,2021-03-23,efl3_,𝙴𝙸𝙵 🌸,@aljassar93 @Talabat باجر تنفاهم معاهم😂,ar,,,,,
45,45,1374415155350577153,2021-03-23,alawi_22_,علي العوضي,@alenezii91 @Talabat منو قدج حطو برصيدج نص دينار  😂,ar,,,,,
46,46,1374415072647286787,2021-03-23,fj_09,فرح جابر الصباح,@Talabat fails me everytime :),en,,,,,
47,47,1374414813967773701,2021-03-23,aljassar93,𝐀𝐛𝐝𝐮𝐥𝐚𝐳𝐢𝐳 𝐀𝐥 𝐉𝐚𝐬𝐬𝐚𝐫 || الجسار,#وين_طلبنا_ياطلبات🙂 @Talabat,und,,,,,
48,48,1374414199086981127,2021-03-23,aljassar93,𝐀𝐛𝐝𝐮𝐥𝐚𝐳𝐢𝐳 𝐀𝐥 𝐉𝐚𝐬𝐬𝐚𝐫 || الجسار,@efl3_ @Talabat وانا محاسب Knet ..  يعني مافي اكل وفلوسي راحت 😅,ar,,,,,
49,49,1374413859159609352,2021-03-23,alsherazi79,محمد الشيرازي🇳🇱🇰🇼,@aljassar93 @Talabat نفس الحالة 😅 بالضبط,ar,,,,,
50,50,1374413827903680520,2021-03-23,efl3_,𝙴𝙸𝙵 🌸,@aljassar93 @Talabat وانا طالبه من الساعه ست للحين ماجا ومحاسبين كينت,ar,,,,,
51,51,1374413534793146372,2021-03-23,j_boushehri,أ. جـاسـم بـوشـهـريツ❥,TALABAT 🤦🏻‍♂️😂  https://t.co/ohlarguc3B,tl,,,,,
52,52,1374413219788328962,2021-03-23,aljassar93,𝐀𝐛𝐝𝐮𝐥𝐚𝐳𝐢𝐳 𝐀𝐥 𝐉𝐚𝐬𝐬𝐚𝐫 || الجسار,"طالب مطعم من تطبيق طلبات الساعة ٦:٤٢ ، وطلع لي بالتطبيق ان تم استلام الطلب ""هذا قبل ٤٥ دقيقة"" وانا اصلا ما استلمته للحين🙃 ..  خدمة العملاء لتطبيق طلبات مشغولين  والمطعم ما يردون   زين انا شسوي بهالحالة! اسوي توست وجبن يعني ولا شنو! 😂  @Talabat",ar,,,,,
53,53,1374413005367115777,2021-03-23,aezmi8,alsabri,@Talabat افتحو التوصيل حق  غرب عبدالله المبارك 🥺,ar,,,,,
54,54,1374412930960093197,2021-03-23,aarabiat,Alaa Arabiat,"""طلبات"" بوقت الحظر ما عندهم خاصيّة الدّفع كاش؟ #Talabat #Jordan #Irbid",ar,,,,,
55,55,1374412408161148928,2021-03-23,asmalfailchawi,أسـمـا.,كل المطاعم busy فجأه😂💔 #carriage #talabat,ar,,,,,
56,56,1374410647438430209,2021-03-23,washaalnouri,aisha alnouri,@Talabat الحمدالله جدامي الحين ٢٩٠ شخص,ar,,,,,
57,57,1374410132038193156,2021-03-23,ihaterockii,yam 🏄🏼‍♀️,All i wanted was some talabat but no. I can’t have shit.,en,,,,,
58,58,1374410075427667972,2021-03-23,washaalnouri,aisha alnouri,@Talabat مو طبيعي ساعه ونص طالبه وما وصل ومكتوب انه وصل والمطعم ما يردون و الچات جدامي ٥٠٠ شخص ؟؟؟!!!!!,ar,,,,,
